Person Name,Title,Total Score,Category,Quote Date,Source,Quote Text,Fact Check Status
David Grusch,Former Intelligence Officer & Whistleblower,1.4,Generally Reliable,"July 26, 2023",House Oversight Committee Hearing,I was informed in the course of my official duties of a multi-decade UAP crash retrieval and reverse engineering program.,UNVERIFIED
David Grusch,Former Intelligence Officer & Whistleblower,1.4,Generally Reliable,"July 26, 2023",House Oversight Committee Hearing,Non-human biologics came with some of these recoveries.,UNVERIFIED
Luis Elizondo,Former Pentagon AATIP Director,2.4,Mixed Record,"October 11, 2017",CNN Interview,My personal belief is that there is very compelling evidence that we may not be alone.,UNVERIFIED
Luis Elizondo,Former Pentagon AATIP Director,2.4,Mixed Record,"August 20, 2024","""Imminent"" Book Release",UAPs represent a potential national security threat unlike anything we have ever faced.,UNVERIFIED
Danny Sheehan,Attorney & UAP Advocate,2.7,Questionable,"September 12, 2023",UAP Disclosure Conference,We are on the verge of the most significant disclosure in human history.,FALSE
Danny Sheehan,Attorney & UAP Advocate,2.7,Questionable,"May 15, 2023",Legal Filing,My client has direct knowledge of crash retrieval operations conducted by the US government.,UNVERIFIED
Ross Coulthart,Investigative Journalist & Author,3.2,Questionable,July 2023,Project Unity Interview,Some of these objects are not capable of being moved because they're too bloody big... I know exactly where it is… It's absolutely gobsmacking that it's been kept a secret.,UNVERIFIED
Ross Coulthart,Investigative Journalist & Author,3.2,Questionable,"August 28, 2023",ABC Media Watch Response,Belief is an expression of religious faith... My belief is irrelevant. It is not the case that there is no proof at all behind Mr Grusch's allegations.,UNVERIFIED
Ross Coulthart,Investigative Journalist & Author,3.2,Questionable,August 2023,NewsNation (Cuomo show),There should be an investigation… into what I characterize as the intelligence community's effort to try and discredit a good human being.,FALSE
Ross Coulthart,Investigative Journalist & Author,3.2,Questionable,Late 2023,NewsNation Reality Check,I was skeptical about CE5 and summoning UAP craft until I witnessed it with Tier 1 operators who are Psionic Assists trained by the US military…,UNVERIFIED
Ross Coulthart,Investigative Journalist & Author,3.2,Questionable,"July 26, 2023",7NEWS Spotlight Australia,"I don't care if people say this is crazy… I don't care if people laugh or ridicule it, because I know from the sources that I've spoken to, this story will eventually come out.",UNVERIFIED
Jeremy Corbell,Filmmaker & UAP Investigator,3.8,Major Carrot Seller,"April 28, 2020",Twitter/X Post,BOMBSHELL: The Pentagon has more videos. This is just the beginning of disclosure.,UNVERIFIED
Jeremy Corbell,Filmmaker & UAP Investigator,3.8,Major Carrot Seller,"July 15, 2021","""TMZ Presents: UFO Revolution""",I have obtained videos that will change everything we know about UAPs.,UNVERIFIED
